Método;Entrada;Tempo;Execução;TipoOrdenacao;N
QUICKSORT;d500000;0.00836154;2;Decrescente;500000
HEAPSORT;d500000;0.0934757;2;Decrescente;500000
MERGESORT;d7500;0.000463665;2;Decrescente;7500
QUICKSORT;d7500;0.000125149;2;Decrescente;7500
HEAPSORT;d7500;0.00102715;2;Decrescente;7500
MERGESORT;d75000;0.00465333;2;Decrescente;75000
QUICKSORT;d75000;0.00115919;2;Decrescente;75000
HEAPSORT;d75000;0.0124256;2;Decrescente;75000
MERGESORT;d750000;0.0496701;2;Decrescente;750000
QUICKSORT;d750000;0.0138223;2;Decrescente;750000
HEAPSORT;d750000;0.149364;2;Decrescente;750000
MERGESORT;d100;6.433e-06;3;Decrescente;100
QUICKSORT;d100;2.186e-06;3;Decrescente;100
HEAPSORT;d100;6.33e-06;3;Decrescente;100
MERGESORT;d1000;5.0398e-05;3;Decrescente;1000
QUICKSORT;d1000;1.6146e-05;3;Decrescente;1000
HEAPSORT;d1000;0.000109658;3;Decrescente;1000
MERGESORT;d10000;0.00062932;3;Decrescente;10000
QUICKSORT;d10000;0.000177995;3;Decrescente;10000
HEAPSORT;d10000;0.00145239;3;Decrescente;10000
MERGESORT;d100000;0.00616525;3;Decrescente;100000
QUICKSORT;d100000;0.00220415;3;Decrescente;100000
HEAPSORT;d100000;0.0174837;3;Decrescente;100000
MERGESORT;d1000000;0.0702049;3;Decrescente;1000000
QUICKSORT;d1000000;0.0191036;3;Decrescente;1000000
HEAPSORT;d1000000;0.205164;3;Decrescente;1000000
MERGESORT;d1250000;0.0872427;3;Decrescente;1250000
QUICKSORT;d1250000;0.0248383;3;Decrescente;1250000
HEAPSORT;d1250000;0.249699;3;Decrescente;1250000
MERGESORT;d15000;0.000921703;3;Decrescente;15000
QUICKSORT;d15000;0.000366017;3;Decrescente;15000
HEAPSORT;d15000;0.00228614;3;Decrescente;15000
MERGESORT;d1500000;0.103043;3;Decrescente;1500000
QUICKSORT;d1500000;0.0296703;3;Decrescente;1500000
HEAPSORT;d1500000;0.30402;3;Decrescente;1500000
MERGESORT;d200;1.0349e-05;3;Decrescente;200
QUICKSORT;d200;3.412e-06;3;Decrescente;200
HEAPSORT;d200;1.5507e-05;3;Decrescente;200
MERGESORT;d2000;0.000110107;3;Decrescente;2000
QUICKSORT;d2000;3.7232e-05;3;Decrescente;2000
HEAPSORT;d2000;0.00024659;3;Decrescente;2000
MERGESORT;d200000;0.0130329;3;Decrescente;200000
QUICKSORT;d200000;0.00422097;3;Decrescente;200000
HEAPSORT;d200000;0.0372487;3;Decrescente;200000
MERGESORT;d2000000;0.139633;3;Decrescente;2000000
QUICKSORT;d2000000;0.0381078;3;Decrescente;2000000
HEAPSORT;d2000000;0.410507;3;Decrescente;2000000
MERGESORT;d30000;0.00182584;3;Decrescente;30000
QUICKSORT;d30000;0.000694788;3;Decrescente;30000
HEAPSORT;d30000;0.00724457;3;Decrescente;30000
MERGESORT;d500;2.4429e-05;3;Decrescente;500
QUICKSORT;d500;8.126e-06;3;Decrescente;500
HEAPSORT;d500;4.7841e-05;3;Decrescente;500
MERGESORT;d5000;0.000317754;3;Decrescente;5000
QUICKSORT;d5000;8.5928e-05;3;Decrescente;5000
HEAPSORT;d5000;0.000646302;3;Decrescente;5000
MERGESORT;d50000;0.00306872;3;Decrescente;50000
QUICKSORT;d50000;0.00113898;3;Decrescente;50000
HEAPSORT;d50000;0.0086901;3;Decrescente;50000
MERGESORT;d500000;0.0333288;3;Decrescente;500000
QUICKSORT;d500000;0.0087642;3;Decrescente;500000
HEAPSORT;d500000;0.0959363;3;Decrescente;500000
MERGESORT;d7500;0.000428141;3;Decrescente;7500
QUICKSORT;d7500;0.000163125;3;Decrescente;7500
HEAPSORT;d7500;0.00107143;3;Decrescente;7500
MERGESORT;d75000;0.00475369;3;Decrescente;75000
QUICKSORT;d75000;0.00155397;3;Decrescente;75000
HEAPSORT;d75000;0.0126484;3;Decrescente;75000
MERGESORT;d750000;0.0512393;3;Decrescente;750000
QUICKSORT;d750000;0.0153945;3;Decrescente;750000
HEAPSORT;d750000;0.147927;3;Decrescente;750000
MERGESORT;d100;5.557e-06;4;Decrescente;100
QUICKSORT;d100;1.826e-06;4;Decrescente;100
HEAPSORT;d100;6.51e-06;4;Decrescente;100
MERGESORT;d1000;5.1173e-05;4;Decrescente;1000
QUICKSORT;d1000;1.6461e-05;4;Decrescente;1000
HEAPSORT;d1000;0.000108476;4;Decrescente;1000
MERGESORT;d10000;0.000616854;4;Decrescente;10000
QUICKSORT;d10000;0.000218998;4;Decrescente;10000
HEAPSORT;d10000;0.00146443;4;Decrescente;10000
MERGESORT;d100000;0.00623063;4;Decrescente;100000
QUICKSORT;d100000;0.00207644;4;Decrescente;100000
HEAPSORT;d100000;0.0175883;4;Decrescente;100000
MERGESORT;d1000000;0.0684248;4;Decrescente;1000000
QUICKSORT;d1000000;0.0197801;4;Decrescente;1000000
HEAPSORT;d1000000;0.200039;4;Decrescente;1000000
MERGESORT;d1250000;0.0874238;4;Decrescente;1250000
QUICKSORT;d1250000;0.0262529;4;Decrescente;1250000
HEAPSORT;d1250000;0.251167;4;Decrescente;1250000
MERGESORT;d15000;0.000933903;4;Decrescente;15000
QUICKSORT;d15000;0.000371205;4;Decrescente;15000
HEAPSORT;d15000;0.0021657;4;Decrescente;15000
MERGESORT;d1500000;0.102352;4;Decrescente;1500000
QUICKSORT;d1500000;0.0297773;4;Decrescente;1500000
HEAPSORT;d1500000;0.303996;4;Decrescente;1500000
MERGESORT;d200;1.001e-05;4;Decrescente;200
QUICKSORT;d200;3.413e-06;4;Decrescente;200
HEAPSORT;d200;1.6674e-05;4;Decrescente;200
MERGESORT;d2000;0.000106802;4;Decrescente;2000
QUICKSORT;d2000;3.3459e-05;4;Decrescente;2000
HEAPSORT;d2000;0.000246398;4;Decrescente;2000
MERGESORT;d200000;0.0133078;4;Decrescente;200000
QUICKSORT;d200000;0.00451257;4;Decrescente;200000
HEAPSORT;d200000;0.0361505;4;Decrescente;200000
MERGESORT;d2000000;0.138886;4;Decrescente;2000000
QUICKSORT;d2000000;0.0411663;4;Decrescente;2000000
HEAPSORT;d2000000;0.402039;4;Decrescente;2000000
MERGESORT;d30000;0.00182251;4;Decrescente;30000
QUICKSORT;d30000;0.00074338;4;Decrescente;30000
HEAPSORT;d30000;0.00470808;4;Decrescente;30000
MERGESORT;d500;2.9133e-05;4;Decrescente;500
QUICKSORT;d500;7.984e-06;4;Decrescente;500
HEAPSORT;d500;4.5835e-05;4;Decrescente;500
MERGESORT;d5000;0.000349361;4;Decrescente;5000
QUICKSORT;d5000;0.000102904;4;Decrescente;5000
HEAPSORT;d5000;0.000675131;4;Decrescente;5000
MERGESORT;d50000;0.00308865;4;Decrescente;50000
QUICKSORT;d50000;0.00111284;4;Decrescente;50000
HEAPSORT;d50000;0.00810675;4;Decrescente;50000
MERGESORT;d500000;0.0331961;4;Decrescente;500000
QUICKSORT;d500000;0.00992369;4;Decrescente;500000
HEAPSORT;d500000;0.0956529;4;Decrescente;500000
MERGESORT;d7500;0.000449026;4;Decrescente;7500
QUICKSORT;d7500;0.000216744;4;Decrescente;7500
HEAPSORT;d7500;0.00100785;4;Decrescente;7500
MERGESORT;d75000;0.00464581;4;Decrescente;75000
QUICKSORT;d75000;0.00162535;4;Decrescente;75000
HEAPSORT;d75000;0.0124648;4;Decrescente;75000
MERGESORT;d750000;0.0559196;4;Decrescente;750000
QUICKSORT;d750000;0.0159242;4;Decrescente;750000
HEAPSORT;d750000;0.146338;4;Decrescente;750000
MERGESORT;d100;5.621e-06;5;Decrescente;100
QUICKSORT;d100;1.921e-06;5;Decrescente;100
HEAPSORT;d100;6.831e-06;5;Decrescente;100
MERGESORT;d1000;4.8898e-05;5;Decrescente;1000
QUICKSORT;d1000;1.6842e-05;5;Decrescente;1000
HEAPSORT;d1000;0.000106698;5;Decrescente;1000
MERGESORT;d10000;0.000607616;5;Decrescente;10000
QUICKSORT;d10000;0.000230627;5;Decrescente;10000
HEAPSORT;d10000;0.00139056;5;Decrescente;10000
MERGESORT;d100000;0.00633072;5;Decrescente;100000
QUICKSORT;d100000;0.00182929;5;Decrescente;100000
HEAPSORT;d100000;0.0174148;5;Decrescente;100000
MERGESORT;d1000000;0.0665616;5;Decrescente;1000000
QUICKSORT;d1000000;0.0199211;5;Decrescente;1000000
HEAPSORT;d1000000;0.200668;5;Decrescente;1000000
MERGESORT;d1250000;0.0915905;5;Decrescente;1250000
QUICKSORT;d1250000;0.0256333;5;Decrescente;1250000
HEAPSORT;d1250000;0.25463;5;Decrescente;1250000
MERGESORT;d15000;0.000914718;5;Decrescente;15000
QUICKSORT;d15000;0.000363647;5;Decrescente;15000
HEAPSORT;d15000;0.00217781;5;Decrescente;15000
MERGESORT;d1500000;0.103285;5;Decrescente;1500000
QUICKSORT;d1500000;0.0286666;5;Decrescente;1500000
HEAPSORT;d1500000;0.303247;5;Decrescente;1500000
MERGESORT;d200;1.0913e-05;5;Decrescente;200
QUICKSORT;d200;2.758e-06;5;Decrescente;200
HEAPSORT;d200;1.6104e-05;5;Decrescente;200
MERGESORT;d2000;0.00010504;5;Decrescente;2000
QUICKSORT;d2000;3.9565e-05;5;Decrescente;2000
HEAPSORT;d2000;0.000243349;5;Decrescente;2000
MERGESORT;d200000;0.0135556;5;Decrescente;200000
QUICKSORT;d200000;0.00396391;5;Decrescente;200000
HEAPSORT;d200000;0.0383758;5;Decrescente;200000
MERGESORT;d2000000;0.138168;5;Decrescente;2000000
QUICKSORT;d2000000;0.042439;5;Decrescente;2000000
HEAPSORT;d2000000;0.408838;5;Decrescente;2000000
MERGESORT;d30000;0.00183328;5;Decrescente;30000
QUICKSORT;d30000;0.000523789;5;Decrescente;30000
HEAPSORT;d30000;0.00475311;5;Decrescente;30000
MERGESORT;d500;2.3961e-05;5;Decrescente;500
QUICKSORT;d500;8.381e-06;5;Decrescente;500
HEAPSORT;d500;4.8355e-05;5;Decrescente;500
MERGESORT;d5000;0.000293906;5;Decrescente;5000
QUICKSORT;d5000;0.000104449;5;Decrescente;5000
HEAPSORT;d5000;0.000693034;5;Decrescente;5000
MERGESORT;d50000;0.00308936;5;Decrescente;50000
QUICKSORT;d50000;0.00102613;5;Decrescente;50000
HEAPSORT;d50000;0.00814413;5;Decrescente;50000
MERGESORT;d500000;0.0332445;5;Decrescente;500000
QUICKSORT;d500000;0.0107603;5;Decrescente;500000
HEAPSORT;d500000;0.0956089;5;Decrescente;500000
MERGESORT;d7500;0.000457645;5;Decrescente;7500
QUICKSORT;d7500;0.000145236;5;Decrescente;7500
HEAPSORT;d7500;0.00122419;5;Decrescente;7500
MERGESORT;d75000;0.00466748;5;Decrescente;75000
QUICKSORT;d75000;0.00159151;5;Decrescente;75000
HEAPSORT;d75000;0.0130347;5;Decrescente;75000
MERGESORT;d750000;0.0542367;5;Decrescente;750000
QUICKSORT;d750000;0.0153057;5;Decrescente;750000
HEAPSORT;d750000;0.145871;5;Decrescente;750000
MERGESORT;d100;6.108e-06;6;Decrescente;100
QUICKSORT;d100;1.958e-06;6;Decrescente;100
HEAPSORT;d100;6.157e-06;6;Decrescente;100
MERGESORT;d1000;4.9794e-05;6;Decrescente;1000
QUICKSORT;d1000;1.5549e-05;6;Decrescente;1000
HEAPSORT;d1000;9.635e-05;6;Decrescente;1000
MERGESORT;d10000;0.000631949;6;Decrescente;10000
QUICKSORT;d10000;0.000185197;6;Decrescente;10000
HEAPSORT;d10000;0.00141368;6;Decrescente;10000
MERGESORT;d100000;0.00657209;6;Decrescente;100000
QUICKSORT;d100000;0.00249766;6;Decrescente;100000
HEAPSORT;d100000;0.0176347;6;Decrescente;100000
MERGESORT;d1000000;0.068214;6;Decrescente;1000000
QUICKSORT;d1000000;0.0191095;6;Decrescente;1000000
HEAPSORT;d1000000;0.199186;6;Decrescente;1000000
MERGESORT;d1250000;0.0891555;6;Decrescente;1250000
QUICKSORT;d1250000;0.0259612;6;Decrescente;1250000
HEAPSORT;d1250000;0.251032;6;Decrescente;1250000
MERGESORT;d15000;0.000973896;6;Decrescente;15000
QUICKSORT;d15000;0.000352789;6;Decrescente;15000
HEAPSORT;d15000;0.00215541;6;Decrescente;15000
MERGESORT;d1500000;0.104689;6;Decrescente;1500000
QUICKSORT;d1500000;0.0308292;6;Decrescente;1500000
HEAPSORT;d1500000;0.303983;6;Decrescente;1500000
MERGESORT;d200;1.0026e-05;6;Decrescente;200
QUICKSORT;d200;3.323e-06;6;Decrescente;200
HEAPSORT;d200;1.6988e-05;6;Decrescente;200
MERGESORT;d2000;0.000106355;6;Decrescente;2000
QUICKSORT;d2000;3.0968e-05;6;Decrescente;2000
HEAPSORT;d2000;0.000238291;6;Decrescente;2000
MERGESORT;d200000;0.0196354;6;Decrescente;200000
QUICKSORT;d200000;0.00381896;6;Decrescente;200000
HEAPSORT;d200000;0.0359454;6;Decrescente;200000
MERGESORT;d2000000;0.139695;6;Decrescente;2000000
QUICKSORT;d2000000;0.0395158;6;Decrescente;2000000
HEAPSORT;d2000000;0.409048;6;Decrescente;2000000
MERGESORT;d30000;0.00182655;6;Decrescente;30000
QUICKSORT;d30000;0.000679062;6;Decrescente;30000
HEAPSORT;d30000;0.00547714;6;Decrescente;30000
MERGESORT;d500;3.2742e-05;6;Decrescente;500
QUICKSORT;d500;8.268e-06;6;Decrescente;500
HEAPSORT;d500;4.7833e-05;6;Decrescente;500
MERGESORT;d5000;0.000294823;6;Decrescente;5000
QUICKSORT;d5000;0.000104913;6;Decrescente;5000
HEAPSORT;d5000;0.000680119;6;Decrescente;5000
MERGESORT;d50000;0.00321928;6;Decrescente;50000
QUICKSORT;d50000;0.000925676;6;Decrescente;50000
HEAPSORT;d50000;0.00802604;6;Decrescente;50000
MERGESORT;d500000;0.0345315;6;Decrescente;500000
QUICKSORT;d500000;0.0107389;6;Decrescente;500000
HEAPSORT;d500000;0.0960926;6;Decrescente;500000
MERGESORT;d7500;0.000457105;6;Decrescente;7500
QUICKSORT;d7500;0.00018845;6;Decrescente;7500
HEAPSORT;d7500;0.00105824;6;Decrescente;7500
MERGESORT;d75000;0.00493305;6;Decrescente;75000
QUICKSORT;d75000;0.00150753;6;Decrescente;75000
HEAPSORT;d75000;0.0128746;6;Decrescente;75000
MERGESORT;d750000;0.0513411;6;Decrescente;750000
QUICKSORT;d750000;0.0159312;6;Decrescente;750000
HEAPSORT;d750000;0.14472;6;Decrescente;750000
