Método;Entrada;Tempo;Execução;TipoOrdenacao;N
QUICKSORT;o500000;0.00967876;2;Ordenado;500000
HEAPSORT;o500000;0.0900726;2;Ordenado;500000
MERGESORT;o7500;0.00037817;2;Ordenado;7500
QUICKSORT;o7500;0.000177686;2;Ordenado;7500
HEAPSORT;o7500;0.00109774;2;Ordenado;7500
MERGESORT;o75000;0.00450076;2;Ordenado;75000
QUICKSORT;o75000;0.00164973;2;Ordenado;75000
HEAPSORT;o75000;0.0131452;2;Ordenado;75000
MERGESORT;o750000;0.0477167;2;Ordenado;750000
QUICKSORT;o750000;0.0140642;2;Ordenado;750000
HEAPSORT;o750000;0.137402;2;Ordenado;750000
MERGESORT;o100;5.337e-06;3;Ordenado;100
QUICKSORT;o100;1.948e-06;3;Ordenado;100
HEAPSORT;o100;7.592e-06;3;Ordenado;100
MERGESORT;o1000;4.77e-05;3;Ordenado;1000
QUICKSORT;o1000;1.6504e-05;3;Ordenado;1000
HEAPSORT;o1000;0.000114849;3;Ordenado;1000
MERGESORT;o10000;0.000538553;3;Ordenado;10000
QUICKSORT;o10000;0.000243497;3;Ordenado;10000
HEAPSORT;o10000;0.00151597;3;Ordenado;10000
MERGESORT;o100000;0.00598188;3;Ordenado;100000
QUICKSORT;o100000;0.00208964;3;Ordenado;100000
HEAPSORT;o100000;0.0186481;3;Ordenado;100000
MERGESORT;o1000000;0.067247;3;Ordenado;1000000
QUICKSORT;o1000000;0.0176509;3;Ordenado;1000000
HEAPSORT;o1000000;0.182045;3;Ordenado;1000000
MERGESORT;o1250000;0.0862589;3;Ordenado;1250000
QUICKSORT;o1250000;0.0243223;3;Ordenado;1250000
HEAPSORT;o1250000;0.233238;3;Ordenado;1250000
MERGESORT;o15000;0.000870067;3;Ordenado;15000
QUICKSORT;o15000;0.000369041;3;Ordenado;15000
HEAPSORT;o15000;0.00235199;3;Ordenado;15000
MERGESORT;o1500000;0.102718;3;Ordenado;1500000
QUICKSORT;o1500000;0.0306558;3;Ordenado;1500000
HEAPSORT;o1500000;0.279255;3;Ordenado;1500000
MERGESORT;o200;1.0156e-05;3;Ordenado;200
QUICKSORT;o200;3.246e-06;3;Ordenado;200
HEAPSORT;o200;1.7259e-05;3;Ordenado;200
MERGESORT;o2000;9.3485e-05;3;Ordenado;2000
QUICKSORT;o2000;3.5165e-05;3;Ordenado;2000
