Método;Entrada;Tempo;Execução;TipoOrdenacao;N
QUICKSORT;a50000;0.00388353;2;Aleatorio;50000
HEAPSORT;a50000;0.0108769;2;Aleatorio;50000
MERGESORT;a500000;0.0639208;2;Aleatorio;500000
QUICKSORT;a500000;0.0361762;2;Aleatorio;500000
HEAPSORT;a500000;0.126075;2;Aleatorio;500000
MERGESORT;a7500;0.000798385;2;Aleatorio;7500
QUICKSORT;a7500;0.000572038;2;Aleatorio;7500
HEAPSORT;a7500;0.00126338;2;Aleatorio;7500
MERGESORT;a75000;0.00884871;2;Aleatorio;75000
QUICKSORT;a75000;0.00549941;2;Aleatorio;75000
HEAPSORT;a75000;0.0161758;2;Aleatorio;75000
MERGESORT;a750000;0.095905;2;Aleatorio;750000
QUICKSORT;a750000;0.0507475;2;Aleatorio;750000
HEAPSORT;a750000;0.193639;2;Aleatorio;750000
MERGESORT;a100;8.738e-06;3;Aleatorio;100
QUICKSORT;a100;5.155e-06;3;Aleatorio;100
HEAPSORT;a100;7.683e-06;3;Aleatorio;100
MERGESORT;a1000;9.3458e-05;3;Aleatorio;1000
QUICKSORT;a1000;6.8252e-05;3;Aleatorio;1000
HEAPSORT;a1000;0.000129002;3;Aleatorio;1000
MERGESORT;a10000;0.00109761;3;Aleatorio;10000
QUICKSORT;a10000;0.000781051;3;Aleatorio;10000
HEAPSORT;a10000;0.00177636;3;Aleatorio;10000
MERGESORT;a100000;0.0120437;3;Aleatorio;100000
QUICKSORT;a100000;0.00742103;3;Aleatorio;100000
HEAPSORT;a100000;0.0225302;3;Aleatorio;100000
MERGESORT;a1000000;0.129199;3;Aleatorio;1000000
QUICKSORT;a1000000;0.0696318;3;Aleatorio;1000000
HEAPSORT;a1000000;0.261683;3;Aleatorio;1000000
MERGESORT;a1250000;0.165866;3;Aleatorio;1250000
QUICKSORT;a1250000;0.0883119;3;Aleatorio;1250000
HEAPSORT;a1250000;0.337719;3;Aleatorio;1250000
MERGESORT;a15000;0.00170015;3;Aleatorio;15000
QUICKSORT;a15000;0.0011682;3;Aleatorio;15000
HEAPSORT;a15000;0.00287305;3;Aleatorio;15000
MERGESORT;a1500000;0.198161;3;Aleatorio;1500000
QUICKSORT;a1500000;0.103379;3;Aleatorio;1500000
