Método;Entrada;Tempo;Execução
MERGESORT;o500;2.3248e-05;1
QUICKSORT;o500;8.175e-06;1
HEAPSORT;o500;5.3091e-05;1
MERGESORT;o5000;0.00025417;1
QUICKSORT;o5000;0.000108778;1
HEAPSORT;o5000;0.000700952;1
MERGESORT;o50000;0.00279939;1
QUICKSORT;o50000;0.00110829;1
HEAPSORT;o50000;0.00879245;1
MERGESORT;o500000;0.0329037;1
QUICKSORT;o500000;0.00813858;1
HEAPSORT;o500000;0.090319;1
MERGESORT;o7500;0.000401364;1
QUICKSORT;o7500;0.000173895;1
HEAPSORT;o7500;0.00108826;1
MERGESORT;o75000;0.00450478;1
QUICKSORT;o75000;0.00147125;1
HEAPSORT;o75000;0.0129549;1
MERGESORT;o750000;0.0500675;1
QUICKSORT;o750000;0.0135665;1
HEAPSORT;o750000;0.136138;1
MERGESORT;po100;8.313e-06;1
QUICKSORT;po100;3.696e-06;1
HEAPSORT;po100;7.901e-06;1
MERGESORT;po1000;5.3813e-05;1
QUICKSORT;po1000;1.762e-05;1
HEAPSORT;po1000;0.000117393;1
MERGESORT;po10000;0.000539177;1
QUICKSORT;po10000;0.000212395;1
HEAPSORT;po10000;0.00176934;1
MERGESORT;po100000;0.00634167;1
QUICKSORT;po100000;0.00205267;1
HEAPSORT;po100000;0.017069;1
MERGESORT;po1000000;0.0671734;1
QUICKSORT;po1000000;0.0183336;1
HEAPSORT;po1000000;0.18427;1
MERGESORT;po1250000;0.0863634;1
QUICKSORT;po1250000;0.0251773;1
HEAPSORT;po1250000;0.233067;1
MERGESORT;po15000;0.000859133;1
QUICKSORT;po15000;0.000392335;1
HEAPSORT;po15000;0.00231323;1
MERGESORT;po1500000;0.103928;1
QUICKSORT;po1500000;0.0293021;1
HEAPSORT;po1500000;0.280781;1
MERGESORT;po200;1.417e-05;1
QUICKSORT;po200;5.884e-06;1
HEAPSORT;po200;1.882e-05;1
MERGESORT;po2000;0.000103234;1
QUICKSORT;po2000;4.4528e-05;1
HEAPSORT;po2000;0.000256398;1
MERGESORT;po200000;0.0131526;1
QUICKSORT;po200000;0.00361127;1
HEAPSORT;po200000;0.0353334;1
MERGESORT;po2000000;0.137545;1
QUICKSORT;po2000000;0.0395053;1
HEAPSORT;po2000000;0.376608;1
MERGESORT;po30000;0.00168297;1
QUICKSORT;po30000;0.000714236;1
HEAPSORT;po30000;0.00498093;1
